factor,atr_period,order_size,dema_length,0_cumulative_return,0_max_drawdown,0_sharpe_ratio,0_annual volatility,0_annualized_return,0_calmar,0_number_of_transactions,1_cumulative_return,1_max_drawdown,1_sharpe_ratio,1_annual volatility,1_annualized_return,1_calmar,1_number_of_transactions,2_cumulative_return,2_max_drawdown,2_sharpe_ratio,2_annual volatility,2_annualized_return,2_calmar,2_number_of_transactions,3_cumulative_return,3_max_drawdown,3_sharpe_ratio,3_annual volatility,3_annualized_return,3_calmar,3_number_of_transactions,4_cumulative_return,4_max_drawdown,4_sharpe_ratio,4_annual volatility,4_annualized_return,4_calmar,4_number_of_transactions
1.5,6,80,30,1.7256,0.4396,1.5429,0.1693,2.3799,1.3893,67,1.1933,0.4377,0.5798,0.2079,1.3242,0.644,76,1.4456,0.2823,0.9735,0.2083,1.7961,1.6801,75,0.5704,0.5571,-1.2083,0.1739,0.4097,-0.8818,95,0.7926,0.3681,-0.6432,0.1314,0.6913,-0.5373,84
1.5,6,80,60,1.739,0.4149,1.5797,0.1668,2.4093,1.4848,74,1.195,0.3805,0.5862,0.2013,1.3272,0.7253,85,1.4072,0.2554,0.9298,0.2029,1.7209,1.7274,89,0.6628,0.4376,-0.8873,0.1674,0.5201,-0.7935,104,0.9883,0.3016,0.0618,0.1244,0.9815,0.0596,90
1.5,6,80,100,1.6951,0.4776,1.5655,0.1595,2.3134,1.2227,80,1.4572,0.2683,1.0364,0.1911,1.8191,1.7262,88,1.1873,0.3179,0.5777,0.192,1.3136,0.8158,95,0.6741,0.4608,-0.8774,0.1629,0.5343,-0.7254,109,1.0657,0.3155,0.3215,0.1222,1.1064,0.2912,90
1.5,6,80,120,1.555,0.5017,1.3769,0.1529,2.017,0.981,81,1.3056,0.3538,0.8093,0.1821,1.5278,0.9739,90,1.1777,0.3203,0.5603,0.1906,1.2968,0.7796,95,0.6587,0.4465,-0.9606,0.1602,0.5151,-0.806,109,1.0019,0.2939,0.105,0.1218,1.0031,0.1019,95
1.5,6,80,144,1.6494,0.4581,1.5676,0.1496,2.2151,1.1972,80,1.5502,0.3843,1.2304,0.1781,2.0072,1.3336,90,1.2338,0.3111,0.6699,0.1863,1.3964,0.938,91,0.639,0.4861,-1.0405,0.1603,0.4908,-0.8024,110,1.0492,0.2889,0.2665,0.1183,1.0793,0.2552,95
1.5,6,80,169,1.4789,0.4186,1.2589,0.1491,1.8624,1.0487,83,1.6385,0.3822,1.3592,0.1789,2.1918,1.4879,89,1.273,0.3214,0.7498,0.1816,1.4676,0.9905,92,0.7068,0.4303,-0.7977,0.1567,0.5761,-0.6794,108,0.982,0.325,0.0266,0.118,0.9715,0.0226,96
1.5,6,80,252,1.7365,0.4107,1.7749,0.1434,2.4038,1.4488,74,1.2265,0.5494,0.6674,0.1786,1.3832,0.5074,89,1.2561,0.2946,0.7216,0.1797,1.4368,1.0296,87,0.7699,0.4263,-0.578,0.1545,0.6599,-0.49,105,1.1185,0.2047,0.5074,0.1133,1.1947,0.657,90
1.5,6,80,576,1.5999,0.3347,1.5839,0.1373,2.1104,1.5191,75,1.427,0.4882,1.0448,0.1741,1.7597,0.8712,83,1.6772,0.1879,1.4981,0.1652,2.2747,3.0806,81,0.8189,0.4515,-0.4488,0.1465,0.7279,-0.3405,100,0.9501,0.3452,-0.1334,0.1059,0.922,-0.0957,86
1.5,6,80,676,1.596,0.2917,1.5724,0.1377,2.1023,1.7359,73,1.8206,0.4351,1.6924,0.1675,2.5915,1.5234,76,1.4972,0.1866,1.2206,0.162,1.8992,2.4787,82,0.8301,0.4418,-0.4197,0.1445,0.7438,-0.3209,102,0.8486,0.3748,-0.5744,0.1078,0.7706,-0.3864,85
1.5,6,85,30,1.7747,0.4811,1.547,0.1792,2.4885,1.3472,66,1.1984,0.4679,0.5836,0.2204,1.3333,0.6427,76,1.4697,0.3,0.9788,0.2208,1.844,1.6845,75,0.548,0.5831,-1.2076,0.1845,0.3844,-0.8933,95,0.7787,0.3892,-0.6424,0.1394,0.6722,-0.5383,84
